Mod:Item:MetaData, Localized Name
minecraft:air, Luft
minecraft:stone:0, Stein
minecraft:stone:1, Granit
minecraft:stone:2, Polierter Granit
minecraft:stone:3, Diorit
minecraft:stone:4, Polierter Diorit
minecraft:stone:5, Andesit
minecraft:stone:6, Polierter Andesit
minecraft:grass, Grasblock
minecraft:dirt:0, Erde
minecraft:dirt:1, Grobe Erde
minecraft:dirt:2, Podsol
minecraft:cobblestone, Bruchstein
minecraft:planks:0, Eichenholzbretter
minecraft:planks:1, Fichtenholzbretter
minecraft:planks:2, Birkenholzbretter
minecraft:planks:3, Tropenholzbretter
minecraft:planks:4, Akazienholzbretter
minecraft:planks:5, Schwarzeichenholzbretter
minecraft:sapling:0, Eichensetzling
minecraft:sapling:1, Fichtensetzling
minecraft:sapling:2, Birkensetzling
minecraft:sapling:3, Tropenbaumsetzling
minecraft:sapling:4, Akaziensetzling
minecraft:sapling:5, Schwarzeichensetzling
minecraft:bedrock, Grundgestein
minecraft:sand:0, Sand
minecraft:sand:1, Roter Sand
minecraft:gravel, Kies
minecraft:gold_ore, Golderz
minecraft:iron_ore, Eisenerz
minecraft:coal_ore, Steinkohle
minecraft:log:0, Eichenholz
minecraft:log:1, Fichtenholz
minecraft:log:2, Birkenholz
minecraft:log:3, Tropenholz
minecraft:leaves:0, Eichenlaub
minecraft:leaves:1, Fichtennadeln
minecraft:leaves:2, Birkenlaub
minecraft:leaves:3, Tropenbaumlaub
minecraft:sponge:0, Schwamm
minecraft:sponge:1, Nasser Schwamm
minecraft:glass, Glas
minecraft:lapis_ore, Lapislazulierz
minecraft:lapis_block, Lapislazuliblock
minecraft:dispenser, Werfer
minecraft:sandstone:0, Sandstein
minecraft:sandstone:1, Gemeißelter Sandstein
minecraft:sandstone:2, Glatter Sandstein
minecraft:noteblock, Notenblock
minecraft:golden_rail, Antriebsgleis
minecraft:detector_rail, Sensorgleis
minecraft:sticky_piston, Klebriger Kolben
minecraft:web, Spinnennetz
minecraft:tallgrass:1, Gras
minecraft:tallgrass:2, Farn
minecraft:deadbush, Toter Busch
minecraft:piston, Kolben
minecraft:wool:0, Weiße Wolle
minecraft:wool:1, Orange Wolle
minecraft:wool:2, Magenta Wolle
minecraft:wool:3, Hellblaue Wolle
minecraft:wool:4, Gelbe Wolle
minecraft:wool:5, Hellgrüne Wolle
minecraft:wool:6, Rosa Wolle
minecraft:wool:7, Graue Wolle
minecraft:wool:8, Hellgraue Wolle
minecraft:wool:9, Türkise Wolle
minecraft:wool:10, Violette Wolle
minecraft:wool:11, Blaue Wolle
minecraft:wool:12, Braune Wolle
minecraft:wool:13, Grüne Wolle
minecraft:wool:14, Rote Wolle
minecraft:wool:15, Schwarze Wolle
minecraft:yellow_flower:0, Löwenzahn
minecraft:red_flower:0, Mohn
minecraft:red_flower:1, Blaue Orchidee
minecraft:red_flower:2, Sternlauch
minecraft:red_flower:3, Porzellansternchen
minecraft:red_flower:4, Rote Tulpe
minecraft:red_flower:5, Orange Tulpe
minecraft:red_flower:6, Weiße Tulpe
minecraft:red_flower:7, Rosa Tulpe
minecraft:red_flower:8, Margerite
minecraft:brown_mushroom, Pilz
minecraft:red_mushroom, Pilz
minecraft:gold_block, Goldblock
minecraft:iron_block, Eisenblock
minecraft:stone_slab:0, Steinstufe
minecraft:stone_slab:1, Sandsteinstufe
minecraft:stone_slab:3, Bruchsteinstufe
minecraft:stone_slab:4, Ziegelstufe
minecraft:stone_slab:5, Steinziegelstufe
minecraft:stone_slab:6, Netherziegelstufe
minecraft:stone_slab:7, Quarzstufe
minecraft:brick_block, Ziegelsteine
minecraft:tnt, TNT
minecraft:bookshelf, Bücherregal
minecraft:mossy_cobblestone, Bemooster Bruchstein
minecraft:obsidian, Obsidian
minecraft:torch, Fackel
minecraft:mob_spawner, Monsterspawner
minecraft:oak_stairs, Eichenholztreppe
minecraft:chest, Truhe
minecraft:diamond_ore, Diamanterz
minecraft:diamond_block, Diamantblock
minecraft:crafting_table, Werkbank
minecraft:farmland, Ackerboden
minecraft:furnace, Ofen
minecraft:ladder, Leiter
minecraft:rail, Gleis
minecraft:stone_stairs, Bruchsteintreppe
minecraft:lever, Hebel
minecraft:stone_pressure_plate, Steindruckplatte
minecraft:wooden_pressure_plate, Holzdruckplatte
minecraft:redstone_ore, Redstone-Erz
minecraft:redstone_torch, Redstone-Fackel
minecraft:stone_button, Knopf
minecraft:snow_layer, Schnee
minecraft:ice, Eis
minecraft:snow, Schnee
minecraft:cactus, Kaktus
minecraft:clay, Ton
minecraft:jukebox, Plattenspieler
minecraft:fence, Eichenholzzaun
minecraft:pumpkin, Kürbis
minecraft:netherrack, Netherrack
minecraft:soul_sand, Seelensand
minecraft:glowstone, Glowstone
minecraft:lit_pumpkin, Kürbislaterne
minecraft:stained_glass:0, Weißes Glas
minecraft:stained_glass:1, Oranges Glas
minecraft:stained_glass:2, Magenta Glas
minecraft:stained_glass:3, Hellblaues Glas
minecraft:stained_glass:4, Gelbes Glas
minecraft:stained_glass:5, Hellgrünes Glas
minecraft:stained_glass:6, Rosa Glas
minecraft:stained_glass:7, Graues Glas
minecraft:stained_glass:8, Hellgraues Glas
minecraft:stained_glass:9, Türkises Glas
minecraft:stained_glass:10, Violettes Glas
minecraft:stained_glass:11, Blaues Glas
minecraft:stained_glass:12, Braunes Glas
minecraft:stained_glass:13, Grünes Glas
minecraft:stained_glass:14, Rotes Glas
minecraft:stained_glass:15, Schwarzes Glas
